Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
image processing,ECE 240B,Optical Information Processing,"Space-bandwidth product, superresolution, space-variant optical system, partial coherence, image processing with coherent and incoherent light, processing with feedback, real-time light modulators for hybrid processing, nonlinear processing. Optical computing and other applications. Recommended preparation: ECE 182 or equivalent.",1,4
image processing,ECE 295,Graduate Seminar in Signal and Image Processing/Robotics and Control Systems,Weekly discussion of research topics in signal and image processing of robotics and control systems. (S/U grades only.),1,5
zoology,SIO 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,"Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",1,1
zoology,ANAR 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,"(Cross-listed with SIO 166.) Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",1,2
zoology,NO RESULTS,NO RESULTS,NO RESULTS,0,3
zoology,NO RESULTS,NO RESULTS,NO RESULTS,0,4
zoology,NO RESULTS,NO RESULTS,NO RESULTS,0,5
video games,ETHN 182,"Race, Gender, and Sexuality in Fantasy and Science Fiction","This course focuses on race, gender, and sexuality in twentieth- and twenty-first-century fantasy and science fiction. We will study literature, film, music, television, video games, and the internet in order to situate such speculative visions in historical and transmedia contexts.",0,1
video games,COMM 105G,CT: Computer Games Studies,"Course considers computer games both as media and as sites of communication. Games are studied through hands-on play and texts from a variety of disciplinary perspectives. Course encompasses commercial, academic, and independent games.",1,2
video games,POLI 205,Game Theory II,"This course covers advanced topics in game theory. Covered topics will include incomplete information in static and dynamic games, infinitely repeated games, and bargaining games. Emphasis will be placed on advanced equilibrium concepts, and applications of interest to political scientists.",0,3
video games,VIS 31,Undead Media: All Things Zombie,"Have you noticed that zombies are everywhere? In the lab, bank, your home, computer, and cell phone. The undead threaten identity and civilization. Who are they? What do they want? How do they “think”? What do they mean? Class will consider film, literature, graphic novels, video games, and fan culture, drawing from fields such as computing, anthropology, philosophy, sexuality studies, and ethnic studies to dig up undead media’s secret histories and map the global flows of its shambling hordes.",0,4
