Code,Department,Title,Units,Description,Prerequisites,Level,URL
ECON 167,ECON,Economics of China,4,"Survey of the Chinese economy. Topics such as economic growth, China’s transition to a market economy, international trade, financial markets, labor markets, and industrial structure.",ECON 1 and 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+167
ECON 168,ECON,Economics of Modern Israel,4,"This course explores economic processes that shape the Israeli economy. Topics include biblical economics, economics of religion, economic growth, income inequality and consumer protests, employment, globalization, inflation, the high-tech sector, terrorism, and education.",ECON 1 and 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+168
ECON 169,ECON,Economics of Korea,4,"This course covers long-run economic development and current economic issues of South Korea. Topics include examination of major policy changes (e.g., shifts toward export promotion, heavy and chemical industries promotion); Korea’s industrial structure, including the role of large enterprises (chaebol); role of government; and links between Korea and other countries.",ECON 3 and 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+169
ECON 171,ECON,Decisions Under Uncertainty,4,"Decision making when the consequences are uncertain. Decision trees, payoff tables, decision criteria, expected utility theory, risk aversion, and applications to investments and asset pricing.",ECON 100A and ECON 120A or ECE 109 or MATH 180A or MATH 183 or MATH 186.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+171
ECON 172A,ECON,Operations Research A,4,"Linear and integer programming, elements of zero-sum, two-person game theory, and specific combinatorial algorithms. Credit not allowed for both ECON 172A and MATH 171A.",ECON 100A; and ECON 120A or ECE 109 or MATH 180A or MATH 183 or MATH 186; and MATH 18 or 31AH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+172A
ECON 172B,ECON,Operations Research B,4,"Nonlinear programming, deterministic and stochastic dynamic programming, queuing theory, search models, and inventory models. Credit not allowed for both ECON 172B and MATH 171B.",ECON 172A or MATH 171A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+172B
ECON 173A,ECON,Financial Markets,4,"Financial market functions, institutions and instruments: stocks, bonds, cash instruments, derivatives (options), etc. Discussion of no-arbitrage arguments, as well as investors’ portfolio decisions and the basic risk-return trade-off established in market equilibrium.",ECON 100A and ECON 120B or MATH 181B; and MATH 18 or 31AH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+173A
ECON 173B,ECON,Corporate Finance,4,"Introduces the firm’s capital budgeting decision, including methods for evaluation and ranking of investment projects, the firm’s choice of capital structure, dividend policy decisions, corporate taxes, mergers and acquisitions.",ECON 4 or MGT 4; and ECON 173A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+173B
ECON 174,ECON,Financial Risk Management,4,"Risk measures, hedging techniques, value of risk to firms, estimation of optimal hedge ratio, risk management with options and futures. ECON 171 is recommended.",ECON 173A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+174
ECON 176,ECON,Marketing,4,"Role of marketing in the economy. Topics such as buyer behavior, marketing mix, promotion, product selection, pricing, and distribution. Concurrent enrollment in ECON 120C is permitted.",ECON 120C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+176
ECON 178,ECON,Economic and Business Forecasting,4,"Survey of theoretical and practical aspects of statistical and economic forecasting. Such topics as long-run and short-run horizons, leading indicator analysis, econometric models, technological and population forecasts, forecast evaluation, and the use of forecasts for public policy.",ECON 120C. Enrollment limited to majors in the Department of Economics and MA33 only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+178
ECON 181,ECON,Topics in Economics,4,Selected topics in economics. May be taken for credit up to three times.,ECON 1 and ECON 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+181
ECON 182,ECON,Topics in Microeconomics,4,Selected topics in microeconomics.,ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+182
ECON 183,ECON,Topics in Macroeconomics,4,May be taken for credit up to three times.,ECON 110B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+183
ECON 191A,ECON,Senior Essay Seminar A,4,Senior essay seminar for students with superior records in department majors. Students must complete ECON 191A and ECON 191B in consecutive quarters.,department stamp required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+191A
ECON 191B,ECON,Senior Essay Seminar B,4,Senior essay seminar for students with superior records in department majors. Students must complete ECON 191A and ECON 191B in consecutive quarters.,department stamp required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+191B
ECON 195,ECON,Introduction to Teaching Economics,4,Introduction to teaching economics. Each student will be responsible for a class section in one of the lower-division economics courses. Limited to advanced economics majors with at least a 3.5 GPA in upper-division economics work. (P/NP grades only.) Students may not earn more than eight units credit in 195 courses.,consent of the department.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+195
ECON 198,ECON,Directed Group Study,2 or 4,Directed study on a topic or in a group field not included in regular department curriculum by special arrangement with a faculty member.,upper-division standing and consent of instructor. May be repeated up to three times when course topics vary. (P/NP grades only.),Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+198
ECON 199,ECON,Independent Study,2 or 4,Independent reading or research under the direction of and by special arrangement with a Department of Economics faculty member. (P/NP grades only.),consent of instructor and department approval.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+199
ECON 200A,ECON,Microeconomics A,4,"Modern consumer and producer theory. Preferences, utility maximization, demand, choice under uncertainty, intertemporal choice. Production, cost, profit maximization and supply. Comparative statics, duality.",none. Enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+200A
ECON 200B,ECON,Microeconomics B,4,Arrow-Debreu model of general economic equilibrium and welfare economics. Axiomatic theory of the firm and household. Existence of general economic equilibrium. First and Second Fundamental Theorems of Welfare Economics. Futures and contingent commodity markets. Core and core convergence.,ECON 200A. Enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+200B
ECON 200C,ECON,Microeconomics C,4,"Information economics: static and dynamic games of incomplete information, signaling, screening, and lemons. Institutional analysis: social choice, mechanism design, cooperative bargaining, contracts, strategic theory of the firm.",ECON 200B. Enrollment limited to Economics PhD students (EN75) or Rady PhD students (RS79); or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+200C
ECON 201,ECON,Advanced Economic Theory,4,An intensive examination of selected topics in economic theory. Course topic nonrepetitive in a three-year cycle.,ECON 207 and 213.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+201
